Dif	Group
41870094	sim
48014301	sim
11101495	sim
39005245	sim
45432103	sim
11236065	sim
12204777	sim
6036377	sim
71245125	sim
76792188	sim
17659386	sim
17581070	sim
1058105	sim
22056791	sim
1183222	sim
7957980	sim
21047899	sim
78239435	sim
23017219	sim
8681379	sim
30879956	sim
9101426	sim
36873820	sim
28095779	sim
10757643	sim
19449621	sim
20629930	sim
63565245	sim
13422404	sim
15593847	sim
56003170	sim
16532197	sim
7407346	sim
23757100	sim
335279	sim
3334298	sim
79770919	sim
10520929	sim
12609712	sim
48216200	sim
5956065	sim
15796660	sim
14447980	sim
7960000	sim
53597712	sim
20263313	sim
18981966	sim
20578048	sim
22284082	sim
23335650	sim
10028273	sim
36808140	sim
14319648	sim
47620073	sim
36245524	sim
2250451	sim
13591425	sim
45766474	sim
48023050	sim
29835740	sim
15983287	sim
17314137	sim
66767823	sim
14625204	sim
18702553	sim
71245997	sim
23203960	sim
969071	sim
7804727	sim
30006685	sim
7144698	sim
3806275	sim
31820522	sim
11407460	sim
19091772	sim
10309107	sim
16888511	sim
26709438	sim
41596611	sim
56846273	sim
20794480	sim
8566755	sim
53435423	sim
5988168	sim
2259623	sim
18605421	sim
77848857	sim
27430568	sim
12934164	sim
68549780	sim
542600	sim
47122299	sim
16988640	sim
16696849	sim
18625796	sim
11845841	sim
65414795	sim
45052457	sim
18581498	sim
41856748	sim
17858628	sim
32054053	sim
42065590	sim
22986287	sim
32763075	sim
2084324	sim
87192260	sim
1621884	sim
26745977	sim
28989732	sim
12726536	sim
15574139	sim
22663881	sim
84279235	sim
13979824	sim
30763151	sim
11947225	sim
8383463	sim
35583205	sim
85808550	sim
3369860	sim
18702167	sim
46187977	sim
13821225	sim
41166370	sim
26299562	sim
77328726	sim
9608737	sim
10424790	sim
43910617	sim
20404852	sim
7278497	sim
26765778	sim
2307253	sim
16151875	sim
3878886	sim
46732112	sim
10576750	sim
43146328	sim
10370414	sim
61803360	sim
28955881	sim
50028349	sim
7148166	sim
33598683	sim
20177559	sim
6958161	sim
59476299	sim
2609734	sim
37848760	sim
58424322	sim
293104	sim
31464571	sim
29633146	sim
1988875	sim
5115387	sim
7861779	sim
35553142	sim
17424065	sim
58891322	sim
3017872	sim
17385417	sim
27721131	sim
36755312	sim
15831950	sim
2180286	sim
85035282	sim
3391435	sim
48702768	sim
20057619	sim
69318136	sim
21317420	sim
25446664	sim
2553936	sim
10077920	sim
35084516	sim
24245465	sim
29564379	sim
7175299	sim
32982653	sim
28436550	sim
1504719	sim
19779771	sim
75936516	sim
12012331	sim
40565010	sim
19411716	sim
27499246	sim
21156198	sim
15572566	sim
1992436	sim
5081762	sim
35471541	sim
33833755	sim
29994803	sim
29062149	sim
36912260	sim
20238571	sim
4643062	sim
46583292	sim
7918177	sim
46574736	sim
20064293	sim
48116031	sim
16210385	sim
35033153	sim
19293157	sim
23966402	sim
15703449	sim
67158932	sim
16196101	sim
30597075	sim
16982754	sim
37705267	sim
36854340	sim
3495121	sim
33885728	sim
46504849	sim
33346049	sim
25550173	sim
20727436	sim
11689107	sim
5998142	sim
14472434	sim
83418865	sim
17702229	sim
64845575	sim
11656822	sim
38017507	sim
5577768	sim
33868237	sim
27166636	sim
46657805	sim
47556842	sim
31361071	sim
11353711	sim
16385231	sim
61935215	sim
12069910	sim
9002168	sim
1190860	sim
5759174	sim
18096232	sim
37470470	sim
28842403	sim
1587751	sim
11139671	sim
3267281	sim
15032023	sim
8171749	sim
2655191	sim
69198918	sim
57677987	sim
32142887	sim
26681287	sim
11963963	sim
13060764	sim
4940420	sim
3234788	sim
50077366	sim
4817873	sim
53130210	sim
12781977	sim
7844572	sim
21792987	sim
50860902	sim
31501149	sim
9631902	sim
51455719	sim
15658603	sim
25048964	sim
